Aba, Kız
Abaca, Kız
Abacan, Kız
Abaç, Kız
Abaza, Kız
Abgül, Kız
Abher, Kız
Abıhayat, Kız
Abıru, Kız
Abide, Kız
Abiye, Kız
Abruy, Kız
Alabegim, Kız
Alabegüm, Kız
Alabezek, Kız
Almabanu, Kız
Anabacı, Kız
Anabörü, Kız
Ayaba, Kız
Gültab, Kız
İsabet, Kız
Kamertab, Kız
Mehabet, Kız
Muhabbet, Kız
Nabia, Kız
Nabiye, Kız
Nursabah, Kız
Nuşabe, Kız
Rabia, Kız
Sabahat, Kız
Sabahnur, Kız
Sabıka, Kız
Sabır, Kız
Sabiha, Kız
Sabire, Kız
Sabite, Kız
Sabiye, Kız
Sabrinnisa, Kız
Sabriye, Kız
Tabende, Kız
Acarbegüm, Kız
Acarbike, Kız
Acarbüke, Kız
Acarhatun, Kız
Acarkatun, Kız
Acunbegim, Kız
Acunbegüm, Kız
Acunbike, Kız
Acunbüke, Kız
Acungüneş, Kız
Acunışık, Kız
Aça, Kız
Açalya, Kız
Açangül, Kız
Açelya, Kız
Açılay, Kız
Açkıngül, Kız
Adalet, Kız
Adeviye, Kız
Adışah, Kız
Adile, Kız
Adniye, Kız
Adviye, Kız
Afet, Kız
Afi, Kız
Afife, Kız
Afitap, Kız
Afiye, Kız
Afiyet, Kız
Afra, Kız
Aguş, Kız
Ağahanım, Kız
Ağahatun, Kız
Ağakatun, Kız
Ağanbegim, Kız
Ağanbegüm, Kız
Ağanbike, Kız
Ağanbüke, Kız
Ağbacı, Kız
Ağbegim, Kız
Ağbegüm, Kız
Ağbet, Kız
Ağbilek, Kız
Ağça, Kız
Ağgül, Kız
Ağkız, Kız
Ahenk, Kız
Ahu, Kız
Aişe, Kız
Ajda, Kız
Ak, Kız
Akbacı, Kız
Akçagül, Kız
Akçiçek, Kız
Akdolun, Kız
Akgül, Kız
Akhanım, Kız
Akibe, Kız
Akide, Kız
Akife, Kız
Akile, Kız
Akinci, Kız
Akipek, Kız
Akkadın, Kız
Akkar, Kız
Akkız, Kız
Akkor, Kız
Akkutlu, Kız
Akmaral, Kız
Aknur, Kız
Akol, Kız
Aksarı, Kız
Aksen, Kız
Akseven, Kız
Aksevil, Kız
Aksuna, Kız
Aksülün, Kız
Aktolun, Kız
Akyipek, Kız
Alageyik, Kız
Alagöz, Kız
Alagün, Kız
Alakız, Kız
Alangoya, Kız
Alanur, Kız
Alapınar, Kız
Alayunt, Kız
Albeni, Kız
Alçiçek, Kız
Alçin, Kız
Aldeniz, Kız
Alemşah, Kız
Âlemtap, Kız
Alev, Kız
Alevnaz, Kız
Algış, Kız
Algül, Kız
Alım, Kız
Alımlı, Kız
